tconst	averageRating	numVotes
tt0002054	5.8	111
tt0002064	4.8	31
tt0002065	6.1	32
tt0002066	3.9	50
tt0002068	5.1	14
tt0002070	4.8	21
tt0002078	5	23
tt0002082	6.2	301
tt0002083	6	179
tt0002093	4.6	11
tt0002095	4.9	11
tt0002097	4.2	11
tt0002098	5.8	105
tt0002101	5.2	419
tt0002107	5.1	11
tt0002114	4.2	6
tt0002121	4.5	14
tt0002122	6.1	228
tt0002124	5.1	291
tt0002126	6.3	41
tt0002130	7	2012
tt0002132	5.6	5
tt0002133	5.7	144
tt0002139	5.5	8
tt0002143	5.9	452
tt0002145	8.7	7
tt0002151	4.8	18
tt0002153	5.7	40
tt0002159	4.1	18
tt0002162	4.4	35
tt0002172	4.8	11
tt0002176	5.9	225
tt0002177	5.6	19
tt0002179	3.4	18
tt0002186	6.4	74
tt0002190	6.2	314
tt0002196	4.4	7
tt0002197	5.6	213
tt0002199	5.7	437
tt0002200	6.2	69
tt0002203	5.2	33
tt0002208	6.7	1035
tt0002212	5.2	13
tt0002214	5.8	20
tt0002216	5.2	14
tt0002220	4.1	13
tt0002224	5.1	114
tt0002230	6.4	72
tt0002232	5.4	35
tt0002233	4.7	97
tt0002234	8.5	13
tt0002253	4.2	5
tt0002255	4.5	27
tt0002259	5.2	5
tt0002260	6.3	1008
tt0002261	6.2	12
tt0002268	5.1	7
tt0002273	4.7	9
tt0002277	6.3	19
tt0002278	5.1	10
tt0002280	4.7	27
tt0002281	6.2	236
tt0002282	5.3	18
tt0002287	4.4	5
tt0002290	5.3	35
tt0002293	3.6	5
tt0002295	7.4	5
tt0002300	6.2	8
tt0002302	6.2	21
tt0002303	5.7	144
tt0002305	7.5	15
tt0002309	8.9	11
tt0002318	5.2	5
tt0002332	4.5	12
tt0002342	5.9	59
tt0002349	5.2	8
tt0002350	6.5	246
tt0002354	6.3	106
tt0002357	6.2	165
tt0002370	5.9	7
tt0002371	6.5	10
tt0002374	6.2	8
tt0002380	4.9	7
tt0002381	6.6	1844
tt0002382	6	5
tt0002386	5.9	118
tt0002387	4.7	24
tt0002391	6.4	723
tt0002392	5.4	5
tt0002394	7.8	5
tt0002398	5.3	27
tt0002399	4	8
tt0002400	5.7	195
tt0002405	4.7	18
tt0002408	6.3	254
tt0002409	6.1	9
tt0002415	5.9	478
tt0002421	5.9	93
tt0002423	6.8	709
tt0002429	6.3	139
tt0002434	9	5
tt0002437	9	7
tt0002440	3.7	12
tt0002441	5.6	13
tt0002443	4.3	6
tt0002451	8.2	8
tt0002465	5.8	22
tt0002473	6.6	59
tt0002475	7.2	67
tt0002477	5.9	8
tt0002478	5.5	26
tt0002484	5.5	47
tt0002497	6.3	74
tt0002501	4.2	20
tt0002504	4.8	32
tt0002505	4.5	8
tt0002506	4.8	12
tt0002512	6.3	318
tt0002514	5.9	7
tt0002515	4.9	7
tt0002521	5.3	17
tt0002523	5.6	71
tt0002528	4.9	31
tt0002529	4.3	6
tt0002531	6	6
tt0002532	5.9	71
tt0002533	5.2	48
tt0002535	4.6	25
tt0002536	5.5	33
tt0002538	4.7	7
tt0002542	5.9	9
tt0002544	6	143
tt0002545	7.4	7
tt0002546	6.4	14
tt0002547	5.8	5
tt0002550	5.2	25
tt0002553	6.6	697
tt0002562	4.8	9
tt0002569	5.3	183
tt0002574	6.6	8
tt0002576	4.7	29
tt0002582	8.9	11
tt0002593	6	5
tt0002601	5	25
tt0002603	5.1	15
tt0002605	5.6	19
tt0002606	5.4	5
tt0002610	5	101
tt0002621	5.2	62
tt0002639	6.2	130
tt0002658	3.9	32
tt0002659	5.4	669
tt0002663	6.1	310
tt0002669	6.2	19
tt0002678	5.9	11
tt0002702	4.7	16
tt0002718	3.8	11
tt0002719	5.5	62
tt0002726	4.8	5
tt0002736	6.2	8
tt0002745	3.8	12
tt0002753	5.6	8
tt0002755	4.5	19
tt0002759	5.9	15
tt0002761	4.1	11
tt0002767	5.4	34
tt0002784	5.1	28
tt0002795	6.1	454
tt0002797	5.3	7
tt0002813	5.2	202
tt0002815	3.8	11
tt0002816	5.9	83
tt0002822	4.2	25
tt0002829	4.6	10
tt0002844	7	1852
tt0002847	5.1	13
tt0002848	4.3	10
tt0002850	6.1	9
tt0002851	5.4	292
tt0002853	4	21
tt0002867	5.6	93
tt0002885	6	87
tt0002893	6	8
tt0002894	5.5	8
tt0002897	5.7	29
tt0002898	6.9	85
tt0002902	4.5	11
tt0002910	6.1	61
tt0002917	5.7	23
tt0002919	4.7	53
tt0002921	3.9	8
tt0002956	5	34
tt0002968	4.6	5
tt0002983	6	324
tt0002985	6.2	275
tt0002990	5.5	115
tt0002999	6	12
tt0003001	4.7	10
tt0003006	5.9	9
tt0003016	5.5	63
tt0003022	5.4	41
tt0003035	5.6	8
tt0003037	7	1293
tt0003046	6.7	46
tt0003054	5.6	8
tt0003057	4.9	7
tt0003065	5.6	75
tt0003073	4.9	21
tt0003075	6.5	14
tt0003078	7	11
tt0003083	3.8	5
tt0003093	6.1	11
tt0003102	6.5	92
tt0003104	5.7	237
tt0003106	5.7	69
tt0003112	6.4	7
tt0003131	6.7	112
tt0003156	5.6	10
tt0003158	5.6	10
tt0003165	7	1000
tt0003167	5.7	170
tt0003170	6.4	685
tt0003177	4.5	112
tt0003207	4.8	5
tt0003212	5.2	13
tt0003215	5.7	10
tt0003226	4.7	9
tt0003228	5.8	5
tt0003235	5.5	14
tt0003238	5.5	104
tt0003241	4.6	8
tt0003242	8.1	10
tt0003249	6.9	10
tt0003265	4.6	59
tt0003278	7.1	9
tt0003288	5.8	13
tt0003301	5.8	29
tt0003310	5.6	33
tt0003316	6.9	9
tt0003323	6.5	20
tt0003330	6.3	81
tt0003337	5.7	28
tt0003355	4.8	8
tt0003360	5.5	83
tt0003362	5.2	11
tt0003365	4.7	7
tt0003399	5	226
tt0003401	5	7
tt0003410	5.8	5
tt0003417	5	25
tt0003419	6.5	1644
tt0003424	7.3	1134
tt0003427	5.9	23
tt0003436	5.6	60
tt0003438	5.8	19
tt0003441	6	10
tt0003442	5.2	8
tt0003451	4.5	6
tt0003454	5.1	7
tt0003460	6.7	47
tt0003468	4.2	22
tt0003471	6.1	526
tt0003484	6	5
tt0003489	6.2	457
tt0003497	5.7	9
tt0003499	7.1	16
tt0003502	5.6	17
tt0003508	5.9	7
tt0003516	5.2	33
tt0003526	6	24
tt0003536	4.7	7
tt0003540	5.5	22
tt0003545	5.3	13
tt0003565	6.5	17
tt0003578	5.9	8
tt0003584	6.9	12
tt0003585	7	10
tt0003588	5.4	7
tt0003589	6.8	8
tt0003591	6.4	9
tt0003595	4.1	10
tt0003596	6.2	41
tt0003598	5	8
tt0003599	7	6
tt0003600	6.4	10
tt0003615	5.9	103
tt0003617	3.1	11
tt0003618	6.9	19
tt0003638	7	7
tt0003641	6	5
tt0003643	6.5	1049
tt0003657	6.6	121
tt0003662	6.2	693
tt0003665	6.3	46
tt0003668	5.7	11
tt0003670	6.6	20
